"FOLDER AND CATALOG NAME","FILE NAME FILTER TO FIND THE SOFTWARE","CATEGORY","DESCRIPTION","DISPLAY NAME","DEVELOPER NAME OR URL","DEFAULT INSTALL SECTION","MIN OS X","MAX OS X","REQUIRES","UPDATE_FOR","RestartAction","UNINSTALLABLE","OPTIONS for installer (value:name)","NOT CHECK this sub packages (name1 name2)","INSTALLCHECK_SCRIPT","UNINSTALL FILE","ALLOW UNTRUSTED PKGS","NEW VERSION NUMBER","EXTRA_XML_OPTIONS","ALLOWED GROUPS","REMARKS",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"standard_de_apps","Firefox","network","Web browser from Mozilla.","Mozilla Firefox (DE)","https://www.mozilla.org","optional_installs","10.8","10.15.99",,,,,,,,,,,,,,,,,,,,,,,,,,,
"standard_de_apps","Thunderbird","network","Email, news and chat client from Mozilla.","Mozilla Thunderbird (DE)","https://www.mozilla.org","optional_installs","10.8","10.15.99",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"standard_en_apps","Firefox","network","Web browser from Mozilla.","Mozilla Firefox (EN)","https://www.mozilla.org","optional_installs","10.8","10.15.99",,,,,,,,,,,,,,,,,,,,,,,,,,,
"standard_en_apps","Thunderbird","network","Email, news and chat client from Mozilla.","Mozilla Thunderbird (EN)","https://www.mozilla.org","optional_installs","10.8","10.15.99",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"standard_pkgs","Adobe_Flash_Player","network","A browser plugin for some web content. Adobe will stop using of Flash content. Please read <b>https://blogs.adobe.com/conversations/2017/07/adobe-flash-update.html<b> and http://www.theverge.com/2015/12/1/9827778/stop-using-flash or http://www.wired.co.uk/news/archive/2015-12/02/adobe-flash-html-5 for more informations and https://theblog.adobe.com/adobe-flash-update/.","Adobe Flash Player (Safari + Firefox)","https://get.adobe.com/de/flashplayer","optional_installs","10.8","10.15.99",,,,,,,,,,,,,,,,,,,,,,,,,,,
"standard_pkgs","Adobe_Pepper_Flash_Player","network","A browser plugin for some web content. Adobe will stop using of Flash content. Please read <b>https://blogs.adobe.com/conversations/2017/07/adobe-flash-update.html<b> and http://www.theverge.com/2015/12/1/9827778/stop-using-flash or http://www.wired.co.uk/news/archive/2015-12/02/adobe-flash-html-5 for more informations and https://theblog.adobe.com/adobe-flash-update/.","Adobe Pepper Flash Player (Opera + Chromium) ","https://get.adobe.com/de/flashplayer","optional_installs","10.8","10.15.99",,,,,,,,,,,,,,,,,,,,,,,,,,,
"standard_pkgs","Adobe_Reader_DC","office","A reader for Adobe PDF files. Please do NOT use the commercial functions for editing or converting files.","Adobe Acrobat Reader DC","https://get.adobe.com/de/reader/","optional_installs","10.8","10.15.99",,,,,,,"adobe_reader_installcheck_script",,,,,,,,,,,,,,,,,,,,
"standard_pkgs","Adobe_Reader_Update_DC","office","Update for the Adobe Reader DC.","Adobe Acrobat Reader DC (update package)","https://get.adobe.com/de/reader/","optional_installs","10.8","10.15.99",,"standard_prebuilt_pkgs_Adobe_Reader_DC",,,,,"adobe_reader_update_installcheck_script",,,,,,,,,,,,,,,,,,,,
"standard_pkgs","amazon-corretto","system","A free version of JAVA 8 from Amazon<br>AdoptOpenJDK is planning to give updates for Java 8 up to June 2023.<br>Please visite https://docs.google.com/document/d/1nFGazvrCvHMZJgFstlbzoHjpAVwv5DEdnaBr_5pKuHo for more information about the different Java versions.<br>","Java (Amazon Corretto version)","https://aws.amazon.com/de/corretto/","optional_installs","10.11","10.15.99",,,,,,,,,,,,,,,,,,,,,,,,,,,
"standard_pkgs","Nextcloud","synchronization","Sync files automatically and share then. It works similar to DropBox but store the files on self hosted systems.","Nextcloud desktop client","https://nextcloud.com/install/","optional_installs","10.8","10.15.99",,,"RequireLogout",,"1:installer_choice_1:1:installer_choice_2",,,,,,,,,,,,,,,,,,,,,,
"standard_pkgs","OSXFUSE","system","Install software to provides the FUSE (file system in user space) API for Mac OS X, which are needed by tools like sshfs.","OSXFUSE (FUSE for Mac OS X)","https://osxfuse.github.io","optional_installs","10.8","10.15.99",,,"RecommendRestart",,"1:com.github.osxfuse.pkg.Core:1:com.github.osxfuse.pkg.PrefPane:1:com.github.osxfuse.pkg.MacFUSE",,,,,,,,,,,,,,,,,,,,,,
"standard_pkgs","sox","multimedia","„... SoX is a cross-platform (Windows, Linux, MacOS X, etc.) command line utility that can convert various formats of computer audio files in to other formats. It can also apply various effects to these sound files, and, as an added bonus, SoX can play and record audio files on most platforms. ...“ from the web site ","Sox","http://sox.sourceforge.net/","optional_installs","10.8","10.15.99",,,,,,,,,,,,,,,,,,,,,,,,,,,
"standard_pkgs","SSHFS","network","A FUSE based tool to mount directories over the network by using the SSH protocol.","SSHFS","https://osxfuse.github.io","optional_installs","10.8","10.15.99","standard_prebuilt_pkgs_OSXFUSE",,,,,,,,,,,,,,,,,,,,,,,,,,
"standard_pkgs","testdisk","hardware","Some tools to recover partitions and files on damaged or quick formatted discs. The software will be installing to /usr/local/testdisk* to the Mac.","TestDisk + PhotoRec","http://www.cgsecurity.org","optional_installs","10.8","10.15.99",,,,,,,,,,,,,,,,,,,,,,,,,,,
"standard_pkgs","TimeMachineEditor","system","Tool to configure the time interval between new Time Machine backups.","TimeMachineEditor","http://timesoftware.free.fr/timemachineeditor/","optional_installs","10.8","10.15.99",,,,,,,,,,,,,,,,,,,,,,,,,,,
"standard_pkgs","Tunnelblick","network","A open source client to connect to OpenVPN servers.","Tunnelblick (OpenVPN)","https://tunnelblick.net","optional_installs","10.8","10.15.99",,,,,,,,,,,,,,,,,,,,,,,,,,,
"standard_pkgs","USGerman_keyboard_layout","hardware","A special keyboard layout as a mix from US an German keys. After installation and activation use the keys like [alt]+[a] for a german “ä“ or [alt]+[s] for a german “ß“. Please read https://hci.rwth-aachen.de/USGermanKeyboard for more informations.","US/German keyboard layout","https://hci.rwth-aachen.de/USGermanKeyboard","optional_installs","10.8","10.15.99",,,,,,,,,,,,,,,,,,,,,,,,,,,
"standard_pkgs","XQuartz","system","An X Windows System for Mac OS X to run X/X11 applications.","XQuartz (X11)","http://www.xquartz.org","optional_installs","10.8","10.15.99",,,"RequireLogout","false",,,,,,,,,"Deinstallation waere aktuell nicht sinnvoll, da SW oft benoetigt.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"sometimes_needed_apps","5KPlayer","multimedia","A multimedia player for playing 4K or 5K videos (much better than other players) and receive audio or videos streams over AirPlay. Unfortunately the software open advertising sometimes. ","5KPlayer","http://www.5kplayer.com","optional_installs","10.8","10.15.99",,,,,,,,,,,,,,,,,,,,,,,,,,,
"sometimes_needed_apps","AutoDMG","system","„… The award winning AutoDMG takes a macOS installer (10.10 or newer) and builds a system image suitable for deployment with Imagr, DeployStudio, LANrev, Jamf Pro, and other asr-based imaging tools. ...“ from the web page","AutoDMG","https://github.com/MagerValp/AutoDMG","optional_installs","10.10","10.15.99",,,,,,,,,,,,,,,,,,,,,,,,,,,
"sometimes_needed_apps","Eclipse for C and C++","development","„… An IDE for C/C++ developers with Mylyn integration. ...“ from the web page","Eclipse for C and C++","https://www.eclipse.org/downloads/packages/","optional_installs","10.11","10.15.99",,,,,,,,,,,,,,,,,,,,,,,,,,,
"sometimes_needed_apps","Macs Fan Control","hardware","WARNING: A system tool to show and configure the speed of all internal fans and temperature sensors on macs. YOU USE THE SOFTWARE ON YOUR OWN RISC. PLEASE BE CAREFULL !!!","Macs Fan Control (WARNING: This tool can damage your Mac.)","http://www.crystalidea.com/macs-fan-control","optional_installs","10.8","10.15.99",,,,,,,,,,,,,,,,,,,,,,,,,,,
"sometimes_needed_apps","MunkiAdmin","management","„... MunkiAdmin is a GUI for managing munki repositories. It is written with Objective-C and uses in-memory Core Data store as a backend.<br>... Code is considered stable and it shouldn't have any major issues. However, MunkiAdmin is not feature-complete so be prepared to see bugs. If you decide to run this on a production repo, make sure your backups are current or you have some other methods for going back in time. I'm using git version control on my munki repositories so I'll always know what was changed.<br>You can continue to use your favorite text editor to edit pkginfo files and manifests. MunkiAdmin is designed to complement your current workflow and it doesn't require any configuration or changes to your munki repository. ...“ from the web page","MunkiAdmin","http://hjuutilainen.github.io/munkiadmin/","optional_installs","10.8","10.15.99","munki_munkitools",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"commercial_sometimes_needed","DYMO_Label","office","Special software to print labels on printers from Dymo.","DYMO Label Software","http://www.dymo.com/de-DE/dymo-user-guides","optional_installs","10.8","10.15.99",,,,,"1:application 1:appsupport 1:frameworks 1:documents 1:officeaddins 1:safariaddin 1:addressbookaddin 1:npapiaddin 1:cups 0:uninstall 1:webservice","com.dymo.dls.uninstall com.dymo.drivers com.dymo.cups.leopard com.dymo.dls.webservice",,,,,,,,,,,,,,,,,,,,"1:application 1:appsupport 1:frameworks 1:documents 1:officeaddins 1:safariaddin 1:addressbookaddin 1:npapiaddin 1:driver 1:cupsleopard 1:cups 0:uninstall 1:npapiaddin105","com.dymo.dls.uninstall com.dymo.dls.npapi.addin.105 com.dymo.drivers com.dymo.cups.leopard"
"commercial_sometimes_needed","EPSON_Copy_Utility","office","Copy Utility for the scanner Epson Perfection V600.","Epson Copy Utility","https://epson.com/","optional_installs","10.8","10.14.99",,,,,,,,,,,,,,,,,,,,,,,,,,,
"commercial_sometimes_needed","EPSON_Scan","office","Scan software for the Epson Perfection V600.","Epson Scan","https://epson.com/","optional_installs","10.8","10.14.99",,,,,,,,,,,,,,,,,,,,,,,,,,,
"commercial_sometimes_needed","Papers","science","„Papers helps you collect and curate the research material that you're passionate about.“ from http://papersapp.com<br><b>This is a commercial software.</b>","Papers","http://papersapp.com","optional_installs","10.10","10.14.99",,,,,,,,,,,,"commercial-papers","Aufgrund von speziellen Dateiattributen (siehe: ls -l@ Papers.app/Contents/Frameworks/) klappte die Installation der Software nicht über ein selbst erstelltes Packet. Deswegen sollte man die DMG-Datei über Munki verteilen.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"commercial_standard","Microsoft Remote Desktop","network","The Remote Desktop Client from Microsoft for Mac OS X. Can also connect to the Linux based RDP Server XRDP.","Microsoft Remote Desktop","https://itunes.apple.com/de/app/microsoft-remote-desktop/id715768417","optional_installs","10.9","10.15.99",,,,,,,,,,,,"commercial-standard",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"commercial_std_10_13_14","Keynote","office","Keynote make it easy to create presentations.<br>","Keynote","http://www.apple.com/keynote/","optional_installs","10.13","10.15.99",,,,,,,,,,,,"commercial-standard","Software wird von Munki bei Deinstallation nicht gefunden. ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"commercial_standard_10.13","Apple Configurator 2","system","A tool to create configuration profiles for Apple devices. Profiles allows to deploy configurations and settings in an easy way.","Apple Configurator 2","https://itunes.apple.com/de/app/apple-configurator-2/id1037126344","optional_installs","10.13","10.15.99",,,,,,,,,,,,"commercial-standard",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"commercial_standard_10.14","Apple Configurator 2","system","A tool to create configuration profiles for Apple devices. Profiles allows to deploy configurations and settings in an easy way.","Apple Configurator 2","https://itunes.apple.com/de/app/apple-configurator-2/id1037126344","optional_installs","10.13","10.15.99",,,,,,,,,,,,"commercial-standard",,,,,,,,,,,,,,,
